name,date,likes,comment,sentiment,source
djezzy.dz,04/03/20 10:29:29,2309,استفيدوا من عروض جازي عايلة الجديدة لي توالم كامل افراد العائلة 👪  راهي متوفرة في كامل وكالات جازي مع شريحة SIM مجّانية 😱👌🏻 Bénéficiez des nouveaux forfaits DJEZZY 3AYLA qui conviennent à tous les membres de la famille 👪 L'acquisition de la carte SIM est gratuite et disponible dans toutes les boutiques DJEZZY 😱👌🏻 #djezzy #dz #3ayla #family,0,insta
amira_la_bonoise,04/03/20 10:31:18,0,Conx ta3koum dayra ki lhaaaam w say,-1,insta
noureddiiiiiine,04/03/20 10:31:38,0,@zaki_medjber_62,0,insta
linaragguem,04/03/20 10:32:28,0,ما فهمتش هي sim وحدة يخدمو بها العائلة كاملة,0,insta
samo_oussama,04/03/20 10:36:29,0,🙏😉🙏,1,insta
fares_slifi,04/03/20 10:41:15,0,@djezzy.dz  connection  khraaaaa welat,-1,insta
ikhenache_ziane,04/03/20 10:41:37,0,2500DA/ trimestre ?,0,insta
aissa_zaghlla_officiel,04/03/20 10:41:38,0,Barkawna bla 5orti cnx ta3kom dayra kile5ra,-1,insta
_23bouz,04/03/20 10:43:26,0,Le Prix combien,0,insta
rahma.nob,04/03/20 11:02:32,0,"Ppppf yaw diro 100 Go b 100da kan bghito,  je suis vraiment déçu , cnx = 💩 t9ila grv soit sbah lile l3chia 3 t3 sbah dima makanch w ida kayna t9ila,  lcommentaire w bsif maktbto,  les offres li dirohom sah haylin bssah tl3bo mn w mn tmdolna des chiffres mktoubin heda makan mch cnx",-1,insta
houdheifa91,04/03/20 11:08:06,5,La connexion ta3kom est 💩,-1,insta
mohaaissani,04/03/20 11:08:22,2,هل متوفر العرض على شريحة جيزي هايلة بزاف !؟,0,insta
faidmoh,04/03/20 11:17:27,2,Conx ta3kom t3ayii,-1,insta
rafikmilano95,04/03/20 11:17:29,1,أواه خلونا في جيري هايلة بزاف,1,insta
ayoub_bbrh,04/03/20 11:24:17,1,👎👎👎👎👎👎👎👎,-1,insta
amirouchi_mohamed,04/03/20 11:31:18,1,مفيهاش هدرة,0,insta
nassim_sadji,04/03/20 11:32:14,3,Cnx dyalkom t3ayi,-1,insta
captain_cold_officiel,04/03/20 11:34:50,0,A3dlou le réseau mb3d yer7mha rabbi 😉,-1,insta
anoir.zaza,04/03/20 11:59:15,0,@riadh_younes,0,insta
riadh_younes,04/03/20 12:03:08,0,@anoir.zaza hay lhadra,1,insta
asmabessam,04/03/20 12:09:10,0,Connexion nulle j’ai 100Go net mai taayi t9ila grc,-1,insta
asmabessam,04/03/20 12:09:12,0,Grv,0,insta
a.y.m.e.n_dz,04/03/20 12:22:03,0,عندي هايلة ماكسي كونكسيون خردة 👎👎👎,-1,insta
guzelchoco,04/03/20 12:27:35,1,@sa_rita1212,0,insta
hamelmohamed990,04/03/20 12:37:00,0,B 2500 da 3and ooredoo ta3tik 120 gb,-1,insta
montasser62,04/03/20 12:49:59,0,😍🔥 djezzy the best 🔥🔥,1,insta
sy_samy,04/03/20 13:14:37,0,Fiha hadra ?,0,insta
abdenour_kerfouf,04/03/20 13:35:10,1,@djezzy.dz dans le 2 ème mois ça réduit pour combien de giga octets ??,0,insta
ky_l_em,04/03/20 14:06:26,0,Connexion ⤵️⬇️0️⃣,-1,insta
dounia.ka.98,04/03/20 14:32:45,0,جامي جربت جيزي غير هذي مرة وآخر مرة راح نجربها تعييي كونكسيو بزاف تقيلا vive ooredoo,-1,insta
mls_wahiba,04/03/20 14:32:51,0,ولله ياجزي اكي 1500رجعتهالي5جيقا😒😒😒😒,-1,insta
nou_nou_meg,04/03/20 14:42:53,0,@mohaaissani 👌 لكان ريبونداو عليك قولي هههه بيسك راهم ميحلبوش زعمة كخخخ,0,insta
meiys._,04/03/20 14:43:48,0,Conx merdique,-1,insta
hassen__bgh,04/03/20 15:55:48,0,Wch fiha kml bla la connx 4G,0,insta
la_mo_ri,04/03/20 16:04:35,0,cnx dyalkom ki zbl 7acha l3ibad li chafo l cmntr,-1,insta
hamzarais10,04/03/20 16:56:23,0,Conx ki zabi jaya,-1,insta
aminesouiah,04/03/20 17:31:36,0,كل يوم بيس,0,insta
ziad_khamsa,04/03/20 17:42:23,0,😂,0,insta
nouna7598,04/03/20 17:45:48,0,عروض بايخة,-1,insta
alicia__queen5,04/03/20 18:02:53,0,Woooow ❤️🔥,1,insta
imed_kkj,04/03/20 18:25:06,0,😂😂😂😂😂 150 gb 6 m tfad fi 10 jour zid cnx 4G (thble hayla )🤞😂,0,insta
as77905,04/03/20 18:39:22,0,Il faut changé la puce?? J'ai une hayla maxi,0,insta
boussaidlahouari,04/03/20 22:16:29,0,🙌🙌🙌🙌🙌🙌🙌,1,insta
kiwamisaijo,04/03/20 23:08:40,0,The worst connection ever in Algeria,-1,insta
smr_rain_,04/03/20 23:40:15,0,حابة نرجع بيس تاعي hayla maxi.. كفاش ندير!! @djezzy.dz,0,insta
dz.to_day,05/03/20 6:56:04,0,عروض جيزي هي الأسوأ,-1,insta
slaym_o,05/03/20 11:56:08,1,"A déconseiller, j’ai fais l’erreur de passer de ooredoo a djezzy vu qu’il offre plus de forfait internet mais a l’utilisation j’étais choqué de leur connexion et de 20 h à minuit c’est catastrophique même pas utilisable sachant que j’habite alger centre ! ils sont en retard des années, je vous déconseille de faire la même erreur, et je vous conseille aussi de les quitter car c’est des voleurs vu que j’ai arrêté l’utilisation de la puce dès le premier moi eux ils continuent de comptabiliser les mois et jusqu’à aujourd’hui ils m’appellent sur mon numéro ooredoo pour me dire que je dois venir payer mes factures alors que ça fait des mois que je n’ai pas utilisé la puce , et que le jour meme j’ai demandé à propos de cet merde et le monsieur m’a dit que si j’arrête l’utilisation de la puce ils arrêteront de comptabiliser",-1,insta
t_music_dz,05/03/20 14:43:19,0,I am translating the songs and I need followers so if  follow me if you want 🌀🌀,0,insta
_x_.moumen._x_,05/03/20 17:52:37,0,N9dr nsst3mlha fi téléphone?,0,insta
tamer_ga_of,05/03/20 21:20:37,0,نشاله كي تكون انترنت خفيف في الليل نشريها,-1,insta
__a__d__e__x__,06/03/20 14:05:33,1,Yawww cnxx 😡,-1,insta
soumi_emi,07/03/20 13:38:12,0,كونيكسيو تعيي -_-,-1,insta
ou.0ssama0.uo,07/03/20 23:09:43,0,L'3orod ghi hiya w ntouma L 4G ma 3ndkomch y'a zuuh sagmo réseau ta3kom mnb3d diro L 3orod ta3 khra,-1,insta
mah_mourad,08/03/20 15:26:43,0,هل هي4G,0,insta
belladinag,11/03/20 15:43:22,0,"Ya djezzy😡😡, activit ta3 1200 da 30g et 1500da , fi 2 jours klitouli 16g 😡😡😡 c pas normal,  16 tchadli 1 mois 😡😡😡😡",-1,insta
djezzy.dz,24/02/20 18:01:13,2360,"We are the new generation, we are connected 😎😉Join us w'ykoun 3endek 5Go 😍 zyada b'300DA #izzy #djezzy #dz",1,insta
benkacemdjamel,24/02/20 18:02:56,0,9,0,insta
lotfi.bouheroud,24/02/20 18:05:40,0,👎👎👎👎👎👎,-1,insta
timou_dz,24/02/20 18:06:11,0,Bonne continuation @djezzy.dz,1,insta
t.ra_wa,24/02/20 18:07:13,0,👎👎👎👎 kol 5a6ra tzido t5rboha,-1,insta
aymen.mch2001,24/02/20 18:07:22,0,Ma mafhamtch  bla39l bark 🇩🇿,0,insta
sy_samy,24/02/20 18:07:23,2,Si je comprends bien 800da andi 10go ?,0,insta
djezzy.dz,24/02/20 18:09:49,1,@sy_samy ouiiiii😍,1,insta
sy_samy,24/02/20 18:11:37,0,@djezzy.dz ❤️❤️❤️,1,insta
akramziama,24/02/20 18:16:58,1,@yasminebmi @yaramammo 🔥🔥,1,insta
yasminebmi,24/02/20 18:18:36,0,@akramziama 💓💓,1,insta
youcef_amigo_free,24/02/20 18:21:43,0,علاش مديروش 500دج فيها 500دج 5جيغة انترنات و فيسبوك و انستغرام باطل,0,insta
samyxlrb,24/02/20 18:22:37,0,Kon gir chftoli blasa m3a new generation 😍😐,1,insta
b_onnie_i,24/02/20 18:23:56,0,Pendant semaine 🤔,0,insta
aymen_baaziz_,24/02/20 18:27:08,1,800 da 10 go internet ou credit chhal ?,0,insta
djawed.mitala,24/02/20 18:29:44,2,Ta3 800da → 2000da crédit +15go Internet walah la kanet msa3dtna ghaya rodoha,0,insta
negetharrar,24/02/20 18:29:54,0,👏👏👏👏👏👏👏,1,insta
ferdjallahhamza,24/02/20 18:31:36,0,😂😂😂😢😍,1,insta
narimane.nour88,24/02/20 18:31:54,4,علاه متديروش جيزي باطل و 5 جيقا انترنت,0,insta
fouad1712,24/02/20 18:38:30,2,حسنو التغطية ومبعدا ديرو العروض .👎👎,-1,insta
manal_iram,24/02/20 18:46:11,0,وشنو لكود لي نديروه؟!!,0,insta
lo.uz,24/02/20 18:50:32,0,Andi 600 b 12g,1,insta
the_king.fe,24/02/20 18:58:34,0,@lo.uz  wsh mn ma puce khoya yarham waldik,0,insta
lo.uz,24/02/20 19:00:20,0,@the_king.fe hayla maxi,1,insta
the_king.fe,24/02/20 19:03:44,0,@lo.uz kifach ndir bach nachriha,1,insta
na_cer__ar,24/02/20 19:18:08,0,@djezzy.dz mala tahecholna diro 300 da 5go wahedha  bla 500 da hadik,-1,insta
una_efe,24/02/20 19:19:43,0,Nzid 200 Da 3and ooredoo ya3toni 20 Go 😉,-1,insta
noureddine.draou,24/02/20 19:21:43,0,Lazem nv puce wla ghir n activiw had labonement brk ??,0,insta
sy_samy,24/02/20 19:24:53,1,@na_cer__ar il t’ont pas obligé a le faire,0,insta
na_cer__ar,24/02/20 19:32:37,0,@sy_samy saqssitehom homa machi nta,0,insta
sy_samy,24/02/20 19:33:33,3,@na_cer__ar rek fel commentaire taei,0,insta
hichem_rhm,24/02/20 19:38:37,0,SVP makanch offre mafihch djezzy batel,0,insta
houssam_fln,24/02/20 19:48:25,0,@sy_samy 😂😂😂,0,insta
zaydill_,24/02/20 19:49:50,0,Dert hadik ta3 5G 5jr khlaso 😭,-1,insta
lo.uz,24/02/20 19:50:47,0,@the_king.fe sa9si elihah sahbi wla dir *720# o chof ask ya9lbohalk,1,insta
madrid.bakhti,24/02/20 19:59:05,0,أنترنت ضعيفة جدا 😂😂😂,-1,insta
sy_samy,24/02/20 20:03:20,0,@una_efe gold?,0,insta
una_efe,24/02/20 20:05:28,0,@sy_samy wah,1,insta
mayaavinn,24/02/20 20:10:43,0,"not enough , 10 gb nowdays is nothing",-1,insta
djidji_bess,24/02/20 20:16:37,0,Qsq je doit faire pour avoir cette option ?,0,insta
justblako_dz,24/02/20 20:23:25,0,How to activate this offer?,0,insta
khairdine__miner,24/02/20 20:45:12,0,@zaydill__  chaho lkode li diro,0,insta
khairdine__miner,24/02/20 20:45:47,1,@djawed.mitala ih dik kant bien bzafff,1,insta
khairdine__miner,24/02/20 20:46:33,0,♥️,1,insta
zaydill_,24/02/20 20:46:51,0,@khairdine__miner *720#,0,insta
sdmoh31,24/02/20 20:49:59,0,Mais cnx prk t9ila ?,-1,insta
hazal_hazal_dz,24/02/20 20:53:09,0,Mt9drch thder batel 30j psq ana dirtha fi 4j khlast wlit mn9drch nhder mais cnx kayna dork hiya ta3 cnx w mich t3 hdra yek wla kifav !!!!,0,insta
sofian8n,24/02/20 21:16:17,0,راكم تخرطو لعوض لي تنقصو لبري,-1,insta
iam.mourad,24/02/20 21:43:59,0,Est-ce que l'offre imtiyaz est disponible dans cette puce ?,0,insta
amy_lema,24/02/20 22:15:44,0,@una_efe ma3lich tgolili 3la had l'option,0,insta
bendahouayacine,24/02/20 22:16:02,1,800 da = 10 G alor apres 30 jr?? Ki zaama,0,insta
una_efe,24/02/20 22:29:15,0,@amy_lema hadi fi ooredoo la gold tkhali 1000 Da ya3tok 20 Go w had l'offre ta3 djezzy 800 da ya3tok 10 Go.,0,insta
djezzy.dz,24/02/20 22:29:39,3,@b_onnie_i pendant un mois 😊,1,insta
djezzy.dz,24/02/20 22:30:02,1,@thatboisamy la prochaine fois ndiroulek plaça 😂,1,insta
amy_lema,24/02/20 22:30:21,1,@una_efe mercii❤️,1,insta
djezzy.dz,24/02/20 22:30:34,1,@aymen_baaziz_ 500da vers tous les réseaux,1,insta
djezzy.dz,24/02/20 22:31:09,2,@bendahouayacine oui c'est valable 30 jours 😊,0,insta
bendahouayacine,24/02/20 22:37:10,0,@djezzy.dz mora 30 jr ki nwalo nflixo 800 da ??,0,insta
samimou_29,24/02/20 22:41:13,0,😂,0,insta
wassim.mdd,24/02/20 22:44:48,0,Lala matahchilich,-1,insta
kymo_dz,24/02/20 22:45:41,0,Mauvaise affaire 😏,-1,insta
souad_otm,24/02/20 22:53:10,0,@samarajrami 😂😂😂😂فرغي قلبك 🤣🤣🤣,0,insta
smaildusseldorf,24/02/20 22:55:20,1,سڨمو ريزو منبعد ساهل 👌,-1,insta
